Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2018-03-08,AXISBANK,EQ,512.65,518.45,523.95,507.45,521.15,520.55,514.86,8483978,4368098074.2,82839,4917197,57.96,1.5410123866185454,Positive,530.9357142857141,10.410819604392582,551.7573534944993,510.11407507692894
2018-03-09,AXISBANK,EQ,520.55,522.45,522.55,503.0,507.0,505.35,513.43,4955525,2544330900.8,65345,2241755,45.24,-2.9199884737296955,Negative,528.6142857142855,12.217207734798002,553.0487011838816,504.17987024468954
2018-03-12,AXISBANK,EQ,505.35,510.6,521.95,505.3,518.6,519.2,510.91,5283334,2699288020.2,63422,2341902,44.33,2.7406747798555564,Positive,527.0892857142856,11.942139007145226,550.973563728576,503.2050076999951
2018-03-13,AXISBANK,EQ,519.2,517.1,534.95,514.65,531.2,531.5,529.39,7846232,4153683863.15,79834,4159938,53.02,2.3690292758089315,Positive,527.0749999999998,11.936317400143503,550.9476348002868,503.2023651997128
2018-03-14,AXISBANK,EQ,531.5,528.95,538.0,522.5,537.45,536.15,527.9,4976540,2627107173.65,61875,2278029,45.78,0.8748824082784434,Slight positive,527.0999999999998,11.956346882274545,551.0126937645489,503.1873062354507
2018-03-15,AXISBANK,EQ,536.15,535.2,539.2,528.25,530.0,529.65,533.5,3932830,2098147902.4,46912,1675493,42.6,-1.2123472908700972,Negative,527.0571428571426,11.945257461613012,550.9476577803687,503.1666279339166
2018-03-16,AXISBANK,EQ,529.65,530.9,532.9,520.5,524.75,522.6,525.37,12146623,6381458832.7,76552,9884518,81.38,-1.3310676862078652,Negative,526.0535714285712,11.664219850693893,549.382011129959,502.72513172718345
2018-03-19,AXISBANK,EQ,522.6,522.6,526.0,517.05,522.1,519.45,520.31,4656613,2422887363.5,77927,2508757,53.88,-0.6027554535017132,Slight negative,523.7071428571427,8.97155455920773,541.6502519755581,505.7640337387272
2018-03-20,AXISBANK,EQ,519.45,509.0,525.0,509.0,523.0,521.1,518.11,5398111,2796830551.65,55384,1961367,36.33,0.3176436615651035,Slight or No change,522.4714285714284,7.922186816535921,538.3158022045003,506.6270549383566
2018-03-21,AXISBANK,EQ,521.1,523.0,532.5,522.5,525.8,526.3,528.27,5518826,2915446908.2,99641,3163221,57.32,0.9978890807906148,Slight positive,522.2964285714285,7.798926560402868,537.8942816922342,506.69857545062274
2018-03-22,AXISBANK,EQ,526.3,522.6,525.9,516.75,518.5,518.2,520.87,7194256,3747257474.8,115898,4733860,65.8,-1.5390461713851278,Negative,521.7571428571426,7.802781977824267,537.3627068127912,506.1515789014941
2018-03-23,AXISBANK,EQ,518.2,509.5,510.25,496.0,498.25,499.5,500.81,29385110,14716300161.25,128073,24333910,82.81,-3.608645310690861,Among top losers,519.9678571428569,9.743806852461573,539.45547084778,500.4802434379338
2018-03-26,AXISBANK,EQ,499.5,499.0,509.3,495.2,508.05,507.3,502.15,9498614,4769689229.85,84152,6051911,63.71,1.5615615615615532,Positive,519.2499999999998,10.30552503048255,539.8610500609649,498.63894993903466
2018-03-27,AXISBANK,EQ,507.3,512.3,522.55,509.05,514.95,512.2,516.39,6423140,3316827454.8,57201,2791137,43.45,0.9658978907943984,Slight positive,519.2178571428569,10.328370322395477,539.8745977876479,498.561116498066
2018-03-28,AXISBANK,EQ,512.2,512.9,512.9,501.6,510.55,510.5,508.17,10980960,5580173065.4,111873,6711220,61.12,-0.3319016009371456,Slight or No change,518.4999999999998,10.574970449133994,539.6499408982678,497.3500591017318
2018-04-02,AXISBANK,EQ,510.5,506.75,508.5,492.2,499.3,499.05,498.55,7120498,3549905658.7,112010,2173809,30.53,-2.2428991185112657,Negative,518.0499999999998,11.28762085717989,540.6252417143596,495.47475828564006
2018-04-03,AXISBANK,EQ,499.05,494.0,506.0,493.7,502.0,501.55,499.31,6053789,3022708508.3,92038,1849980,30.56,0.5009518084360343,Slight positive,516.7892857142855,12.105341773391155,540.9999692610678,492.57860216750316
2018-04-04,AXISBANK,EQ,501.55,504.5,504.5,490.25,491.95,492.25,496.99,6047813,3005731966.6,66163,1706316,28.21,-1.8542518193599864,Negative,513.9857142857142,12.951810514536533,539.8893353147872,488.0820932566411
